Sales Representative,Location,Region,Customer,Order Date,Product,Quantity,Price,Total Sale Amount
Randy Watson,Massachusetts,East,Steven Miller,7/30/2016,GBC Instant Report Kit,5,16.32,81.6
Sara Snyder,New York,East,Jane Sims,7/30/2016,Staples,3,12.42,37.26
Sara Snyder,New York,East,Louise Frazier,7/30/2016,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",1,53.35,53.35
Sara Snyder,New Jersey,East,Jennifer Simpson,7/30/2016,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",3,16.32,48.96
Frances Warren,Massachusetts,East,Linda Morrison,7/30/2016,"Eldon 200 Class Desk Accessories, Smoke",7,12.42,86.94
Sara Snyder,Massachusetts,East,Walter Kennedy,7/30/2016,Newell 346,10,53.35,533.5
Patrick Graham,Oregon,West,Brian Bryant,7/30/2016,GBC DocuBind P400 Electric Binding System,7,12.42,86.94
Sara Snyder,New York,East,Jessica Lewis,7/30/2016,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",3,17.83,53.49
Sara Snyder,New Jersey,East,Laura Wells,7/30/2016,"ACCOHIDE 3-Ring Binder, Blue, 1""",5,17.83,89.15
Diane Gonzalez,California,West,Joan Robinson,7/30/2016,Presstex Flexible Ring Binders,1,17.83,17.83
Diane Gonzalez,Oregon,West,Alan Cole,7/30/2016,Global Ergonomic Managers Chair,10,16.32,163.2
Frances Warren,New York,East,Joshua Campbell,7/30/2016,Plantronics Calisto P620-M USB Wireless Speakerphone System,4,12.42,49.68
Diane Gonzalez,Washington,West,Susan Jacobs,7/30/2016,Google Nexus 5,2,53.35,106.7
Frances Warren,Massachusetts,East,Jacqueline Hart,7/30/2016,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,5,17.83,89.15
Sara Snyder,New York,East,Roy Collins,7/30/2016,Ibico Plastic and Wire Spiral Binding Combs,9,17.83,160.47
Sara Snyder,New Jersey,East,Heather Larson,7/31/2016,Xerox 1880,1,53.35,53.35
Randy Watson,Massachusetts,East,Gregory Thompson,7/31/2016,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",3,12.42,37.26
Diane Gonzalez,Washington,West,Shirley Chavez,7/31/2016,GBC Standard Therm-A-Bind Covers,6,17.83,106.98
Patrick Graham,Washington,West,Gloria Morris,7/31/2016,Global Highback Leather Tilter in Burgundy,6,53.35,320.1
Sara Snyder,New York,East,Judith Warren,7/31/2016,"Lifetime Advantage Folding Chairs, 4/Carton",7,17.83,124.81
Diane Gonzalez,California,West,Adam Garza,7/31/2016,"Global High-Back Leather Tilter, Burgundy",7,12.42,86.94
Sara Snyder,New Jersey,East,Dorothy Baker,7/31/2016,"File Shuttle II and Handi-File, Black",6,12.42,74.52
Sara Snyder,Massachusetts,East,Antonio Hunter,7/31/2016,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",1,16.32,16.32
Patrick Graham,Oregon,West,Jeremy Diaz,7/31/2016,Advantus Panel Wall Acrylic Frame,4,53.35,213.4
Sara Snyder,Connecticut,East,Sandra Meyer,7/31/2016,"Eldon 400 Class Desk Accessories, Black Carbon",3,17.83,53.49
Patrick Graham,Oregon,West,Henry Stanley,7/31/2016,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",5,12.42,62.1
Patrick Graham,Washington,West,Susan Gomez,7/31/2016,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,12.42,49.68
Sara Snyder,New York,East,Nicholas Howell,7/31/2016,Memorex Micro Travel Drive 8 GB,9,12.42,111.78
Randy Watson,Massachusetts,East,Jason Patterson,7/31/2016,Xerox 1978,4,12.42,49.68
Diane Gonzalez,Oregon,West,Henry Stanley,7/31/2016,Harbour Creations 67200 Series Stacking Chairs,9,53.35,480.15
Sara Snyder,Massachusetts,East,Carl Ford,7/31/2016,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",6,12.42,74.52
Patrick Graham,Oregon,West,Alice Taylor,7/31/2016,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,1,53.35,53.35
Frances Warren,Massachusetts,East,Mary Nelson,8/1/2016,Samsung Galaxy Mega 6.3,7,16.32,114.24
Patrick Graham,Washington,West,Karen Willis,8/1/2016,GE DSL Phone Line Filter,3,53.35,160.05
Sara Snyder,New York,East,Eugene Wilson,8/1/2016,"Situations Contoured Folding Chairs, 4/Set",8,17.83,142.64
Sara Snyder,Massachusetts,East,Janice Mason,8/1/2016,DXL Angle-View Binders with Locking Rings by Samsill,4,17.83,71.32
Sara Snyder,New Jersey,East,Brian Ryan,8/1/2016,Avery Hole Reinforcements,1,16.32,16.32
Sara Snyder,New York,East,Albert Miller,8/1/2016,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",4,12.42,49.68
Patrick Graham,California,West,Diana Hamilton,8/1/2016,Strathmore Photo Mount Cards,2,17.83,35.66
Sara Snyder,New York,East,Cynthia Ray,8/2/2016,Avery 478,2,53.35,106.7
Sara Snyder,Massachusetts,East,Phillip Young,8/2/2016,"Global Deluxe Stacking Chair, Gray",5,12.42,62.1
Patrick Graham,Washington,West,Ernest Carter,8/2/2016,"Global Value Steno Chair, Gray",5,16.32,81.6
Sara Snyder,New York,East,Cynthia Brooks,8/2/2016,Prestige Round Ring Binders,4,17.83,71.32
Sara Snyder,Connecticut,East,Maria Long,8/2/2016,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",1,12.42,12.42
Patrick Graham,Nevada,West,Kimberly Bennett,8/2/2016,DAX Wood Document Frame,3,12.42,37.26
Diane Gonzalez,California,West,Ann Hall,8/2/2016,Staple magnet,7,53.35,373.45
Patrick Graham,Washington,West,Craig Thomas,8/2/2016,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",3,16.32,48.96
Patrick Graham,Oregon,West,Gloria Oliver,8/2/2016,Xerox 220,6,12.42,74.52
Diane Gonzalez,Washington,West,Jennifer Adams,8/2/2016,Avery Durable Poly Binders,7,12.42,86.94
Frances Warren,New Jersey,East,Joshua Washington,8/2/2016,"Executive Impressions 12"" Wall Clock",7,17.83,124.81
Randy Watson,Massachusetts,East,Louise Green,8/2/2016,Carina Double Wide Media Storage Towers in Natural & Black,1,16.32,16.32
Frances Warren,New Jersey,East,Cheryl Howard,8/2/2016,Peel & Stick Add-On Corner Pockets,1,12.42,12.42
Randy Watson,New York,East,Shirley Murray,8/2/2016,Chromcraft Round Conference Tables,9,16.32,146.88
Diane Gonzalez,California,West,Joan Robinson,8/3/2016,Xerox 198,7,16.32,114.24
Patrick Graham,Washington,West,Stephanie Wallace,8/3/2016,"Safco Chair Connectors, 6/Carton",8,16.32,130.56
Randy Watson,Massachusetts,East,Randy West,8/3/2016,X-Rack File for Hanging Folders,4,12.42,49.68
Diane Gonzalez,Washington,West,Jennifer Adams,8/3/2016,Global Highback Leather Tilter in Burgundy,4,16.32,65.28
Sara Snyder,New Jersey,East,Judith Wood,8/3/2016,Xerox 1997,5,16.32,81.6
Sara Snyder,New York,East,Jimmy Bailey,8/3/2016,"DataProducts Ampli Magnifier Task Lamp, Black,",1,12.42,12.42
Patrick Graham,Nevada,West,Craig Lewis,8/3/2016,"Safco Chair Connectors, 6/Carton",5,12.42,62.1
Sara Snyder,New York,East,Roger Freeman,8/3/2016,Self-Adhesive Ring Binder Labels,10,12.42,124.2
Patrick Graham,Washington,West,Judy Sanchez,8/3/2016,File Shuttle I and Handi-File,3,12.42,37.26
Sara Snyder,New York,East,Lillian Wood,8/3/2016,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",1,17.83,17.83
Randy Watson,New York,East,Lois Castillo,8/3/2016,Eldon Expressions Mahogany Wood Desk Collection,3,16.32,48.96
Patrick Graham,Washington,West,Charles Collins,8/3/2016,"Wirebound Service Call Books, 5 1/2"" x 4""",5,12.42,62.1
Patrick Graham,California,West,Dennis Fields,8/3/2016,"Fellowes Strictly Business Drawer File, Letter/Legal Size",1,17.83,17.83
Sara Snyder,Connecticut,East,Jane Watkins,8/4/2016,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,6,53.35,320.1
Patrick Graham,Washington,West,Stephanie Wallace,8/4/2016,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",2,12.42,24.84
Patrick Graham,California,West,Kelly Wagner,8/4/2016,Fellowes Officeware Wire Shelving,2,12.42,24.84
Randy Watson,New York,East,Mark Rogers,8/4/2016,Avery Heavy-Duty EZD  Binder With Locking Rings,3,53.35,160.05
Randy Watson,New York,East,Christopher Oliver,8/4/2016,Kensington 6 Outlet Guardian Standard Surge Protector,5,16.32,81.6
Randy Watson,New York,East,Roy Young,8/4/2016,GBC DocuBind TL200 Manual Binding Machine,8,12.42,99.36
Patrick Graham,Washington,West,Gary Weaver,8/4/2016,VariCap6 Expandable Binder,5,17.83,89.15
Randy Watson,New York,East,Edward Cooper,8/4/2016,Eldon Fold 'N Roll Cart System,10,16.32,163.2
Diane Gonzalez,Washington,West,Carol Pierce,8/4/2016,Staple envelope,10,12.42,124.2
Patrick Graham,Washington,West,Craig Hicks,8/4/2016,Stacking Trays by OIC,6,12.42,74.52
Sara Snyder,New York,East,Harold Daniels,8/4/2016,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,2,12.42,24.84
Sara Snyder,New Jersey,East,Judith Gray,8/4/2016,Epson Perfection V600 Photo Scanner,6,17.83,106.98
Patrick Graham,Oregon,West,Teresa Fisher,8/4/2016,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,6,17.83,106.98
Sara Snyder,Massachusetts,East,Mary Nelson,8/4/2016,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",3,16.32,48.96
Diane Gonzalez,Washington,West,Craig Thomas,8/4/2016,Durable Pressboard Binders,5,12.42,62.1
Sara Snyder,New York,East,Marie Rivera,8/5/2016,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",1,12.42,12.42
Sara Snyder,New York,East,Nicholas Howell,8/5/2016,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,9,12.42,111.78
Patrick Graham,California,West,Joshua Baker,8/5/2016,Surelock Post Binders,7,16.32,114.24
Patrick Graham,Washington,West,Denise Henry,8/5/2016,Avanti 4.4 Cu. Ft. Refrigerator,6,12.42,74.52
Patrick Graham,California,West,Andrea Lawrence,8/5/2016,Avery Premier Heavy-Duty Binder with Round Locking Rings,4,12.42,49.68
Sara Snyder,New York,East,Joan Harvey,8/5/2016,"Howard Miller 16"" Diameter Gallery Wall Clock",7,12.42,86.94
Sara Snyder,Massachusetts,East,Carolyn Scott,8/5/2016,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,8,53.35,426.8
Diane Gonzalez,Washington,West,Henry Sanders,8/5/2016,Insertable Tab Post Binder Dividers,9,17.83,160.47
Diane Gonzalez,Washington,West,Stephen Martinez,8/5/2016,Lexmark MX611dhe Monochrome Laser Printer,5,17.83,89.15
Diane Gonzalez,Washington,West,Jean Stephens,8/5/2016,GBC VeloBinder Manual Binding System,7,53.35,373.45
Patrick Graham,Oregon,West,Gloria Oliver,8/6/2016,Cardinal Holdit Business Card Pockets,4,16.32,65.28
Sara Snyder,Connecticut,East,William Collins,8/6/2016,Xerox 225,7,12.42,86.94
Randy Watson,New Jersey,East,Sean Weaver,8/6/2016,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",7,12.42,86.94
Patrick Graham,Washington,West,Gary Weaver,8/6/2016,SAFCO Boltless Steel Shelving,1,17.83,17.83
Sara Snyder,New York,East,Eugene Wilson,8/6/2016,Flat Face Poster Frame,7,16.32,114.24
Sara Snyder,New York,East,Marie Rivera,8/6/2016,WD My Passport Ultra 2TB Portable External Hard Drive,2,17.83,35.66
Patrick Graham,Oregon,West,Samuel Garza,8/6/2016,Alliance Rubber Bands,2,12.42,24.84
Randy Watson,New York,East,Raymond Collins,8/6/2016,Xerox 1988,5,53.35,266.75
Patrick Graham,Washington,West,Karen Willis,8/6/2016,"Executive Impressions 14"" Contract Wall Clock",2,17.83,35.66
Randy Watson,Massachusetts,East,Justin Dixon,8/6/2016,Deluxe Heavy-Duty Vinyl Round Ring Binder,5,53.35,266.75
Sara Snyder,New Jersey,East,Marilyn Patterson,8/6/2016,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",8,16.32,130.56
Sara Snyder,New Jersey,East,Keith Berry,8/6/2016,Storex Dura Pro Binders,6,12.42,74.52
Diane Gonzalez,Oregon,West,Terry Pierce,8/6/2016,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),7,53.35,373.45
Diane Gonzalez,Washington,West,Evelyn Lane,8/6/2016,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",6,12.42,74.52
Diane Gonzalez,California,West,Willie Oliver,8/7/2016,"SlimView Poly Binder, 3/8""",5,53.35,266.75
Patrick Graham,Washington,West,Sharon Montgomery,8/7/2016,Hon Valutask Swivel Chairs,9,53.35,480.15
Sara Snyder,Connecticut,East,Carlos Stephens,8/7/2016,BlackBerry Q10,2,17.83,35.66
Sara Snyder,Connecticut,East,Ashley Olson,8/7/2016,O'Sullivan 2-Shelf Heavy-Duty Bookcases,2,16.32,32.64
Patrick Graham,California,West,Judy Lopez,8/7/2016,"BOSTON Ranger #55 Pencil Sharpener, Black",9,53.35,480.15
Diane Gonzalez,Washington,West,Gary Weaver,8/7/2016,Novimex Fabric Task Chair,2,53.35,106.7
Sara Snyder,Connecticut,East,Debra Gutierrez,8/7/2016,Xerox 231,10,17.83,178.3
Sara Snyder,New York,East,Norma Russell,8/7/2016,Kingston Digital DataTraveler 16GB USB 2.0,3,53.35,160.05
Diane Gonzalez,California,West,Jimmy Warren,8/7/2016,"SlimView Poly Binder, 3/8""",1,12.42,12.42
Sara Snyder,New York,East,Roy Collins,8/7/2016,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",10,16.32,163.2
Sara Snyder,New York,East,Nancy Stephens,8/7/2016,Xerox 222,3,53.35,160.05
Randy Watson,Massachusetts,East,Howard Adams,8/7/2016,DAX Clear Channel Poster Frame,10,17.83,178.3
Diane Gonzalez,California,West,Walter Reed,8/7/2016,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",1,53.35,53.35
Diane Gonzalez,Oregon,West,Joyce Myers,8/8/2016,"Eldon Image Series Desk Accessories, Burgundy",7,12.42,86.94
Sara Snyder,Massachusetts,East,Jerry Smith,8/8/2016,Xerox 1996,8,53.35,426.8
Sara Snyder,New Jersey,East,Edward Wells,8/8/2016,#10 Self-Seal White Envelopes,2,17.83,35.66
Patrick Graham,California,West,Andrew Adams,8/8/2016,Hon Pagoda Stacking Chairs,2,53.35,106.7
Randy Watson,Massachusetts,East,Joe Russell,8/8/2016,Cisco Unified IP Phone 7945G VoIP phone,6,17.83,106.98
Sara Snyder,New Jersey,East,Kimberly Coleman,8/8/2016,Newell 339,6,12.42,74.52
Sara Snyder,New York,East,Maria Johnston,8/8/2016,Easy-staple paper,1,16.32,16.32
Sara Snyder,New York,East,Albert Miller,8/8/2016,DXL Angle-View Binders with Locking Rings by Samsill,1,16.32,16.32
Sara Snyder,New Jersey,East,Tammy Hart,8/8/2016,Bevis 44 x 96 Conference Tables,5,12.42,62.1
Sara Snyder,New Jersey,East,Robert Collins,8/8/2016,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,10,16.32,163.2
Sara Snyder,New York,East,Robert Hayes,8/8/2016,36X48 HARDFLOOR CHAIRMAT,1,16.32,16.32
Sara Snyder,New York,East,Randy Burton,8/8/2016,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",9,16.32,146.88
Diane Gonzalez,Washington,West,Ernest Hernandez,8/8/2016,Computer Printout Paper with Letter-Trim Perforations,2,12.42,24.84
Sara Snyder,New York,East,Christina Oliver,8/8/2016,Nortel Meridian M5316 Digital phone,5,53.35,266.75
Frances Warren,Massachusetts,East,Alice Kelly,8/8/2016,Storex Flexible Poly Binders with Double Pockets,6,17.83,106.98
Patrick Graham,Washington,West,Carol Pierce,8/8/2016,Canon Imageclass D680 Copier / Fax,4,17.83,71.32
Sara Snyder,New Jersey,East,Judith Gray,8/9/2016,Ampad #10 Peel & Seel Holiday Envelopes,6,12.42,74.52
Diane Gonzalez,Oregon,West,Roger Bell,8/9/2016,Avery 518,10,12.42,124.2
Frances Warren,New Jersey,East,Rachel Larson,8/9/2016,"Linden 10"" Round Wall Clock, Black",5,53.35,266.75
Sara Snyder,New York,East,Evelyn Greene,8/9/2016,Anderson Hickey Conga Table Tops & Accessories,10,12.42,124.2
Patrick Graham,Washington,West,Susan Gomez,8/9/2016,Plantronics Audio 478 Stereo USB Headset,10,12.42,124.2
Randy Watson,New Jersey,East,Timothy Lawson,8/9/2016,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",3,12.42,37.26
Patrick Graham,California,West,Tina Schmidt,8/9/2016,Apple EarPods with Remote and Mic,6,12.42,74.52
Patrick Graham,California,West,Rachel Stanley,8/9/2016,"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",9,17.83,160.47
Diane Gonzalez,Washington,West,Jeremy Baker,8/9/2016,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",8,53.35,426.8
Patrick Graham,California,West,Tammy Clark,8/9/2016,OtterBox Commuter Series Case - iPhone 5 & 5s,1,53.35,53.35
Sara Snyder,Massachusetts,East,Howard Adams,8/9/2016,Logitech Wireless Headset H600 Over-The-Head Design,1,12.42,12.42
Sara Snyder,Massachusetts,East,Roger Andrews,8/9/2016,Xerox 230,3,17.83,53.49
Sara Snyder,New Jersey,East,Randy Willis,8/9/2016,Xerox 1885,7,12.42,86.94
Sara Snyder,Massachusetts,East,Aaron Morris,8/9/2016,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,2,12.42,24.84
Sara Snyder,New York,East,Cynthia Brooks,8/9/2016,Smead Adjustable Mobile File Trolley with Lockable Top,9,17.83,160.47
Patrick Graham,Oregon,West,Joyce Garcia,8/10/2016,Eldon Econocleat Chair Mats for Low Pile Carpets,10,53.35,533.5
Sara Snyder,New York,East,Marilyn Martin,8/10/2016,Deluxe Chalkboard Eraser Cleaner,10,12.42,124.2
Frances Warren,New York,East,Lori Collins,8/10/2016,Recycled Steel Personal File for Hanging File Folders,7,16.32,114.24
Sara Snyder,New York,East,Anna Wheeler,8/10/2016,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",6,53.35,320.1
Sara Snyder,New York,East,Raymond Collins,8/10/2016,Letter Size Cart,7,12.42,86.94
Diane Gonzalez,Oregon,West,Kathy Lee,8/10/2016,Westinghouse Clip-On Gooseneck Lamps,7,17.83,124.81
Diane Gonzalez,California,West,Steven Stewart,8/10/2016,HON 5400 Series Task Chairs for Big and Tall,6,12.42,74.52
Sara Snyder,Connecticut,East,Irene Franklin,8/10/2016,4009 Highlighters by Sanford,5,12.42,62.1
Sara Snyder,New York,East,Lawrence Ruiz,8/10/2016,Xerox 220,3,12.42,37.26
Sara Snyder,New York,East,Joseph Ryan,8/10/2016,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,4,53.35,213.4
Randy Watson,New Jersey,East,Lois Woods,8/10/2016,Binding Machine Supplies,6,17.83,106.98
Frances Warren,Connecticut,East,Russell Romero,8/11/2016,Google Nexus 5,7,16.32,114.24
Frances Warren,Massachusetts,East,Roger Gomez,8/11/2016,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",8,12.42,99.36
Patrick Graham,Washington,West,Joan Austin,8/11/2016,GBC ProClick 150 Presentation Binding System,5,17.83,89.15
Sara Snyder,Massachusetts,East,Matthew Berry,8/11/2016,Razer Kraken PRO Over Ear PC and Music Headset,2,17.83,35.66
Patrick Graham,Oregon,West,Kathy Lee,8/11/2016,Stacking Trays by OIC,10,12.42,124.2
Patrick Graham,California,West,Robin Murphy,8/11/2016,Belkin F9S820V06 8 Outlet Surge,5,17.83,89.15
Diane Gonzalez,Nevada,West,Stephen Rice,8/11/2016,Advantus Panel Wall Certificate Holder - 8.5x11,9,16.32,146.88
Patrick Graham,Nevada,West,Peter Bishop,8/11/2016,Vtech CS6719,4,12.42,49.68
Diane Gonzalez,Washington,West,Judy Sanchez,8/11/2016,GBC ProClick Punch Binding System,10,12.42,124.2
Sara Snyder,Massachusetts,East,Jeremy Richards,8/11/2016,Pyle PMP37LED,10,12.42,124.2
Sara Snyder,New York,East,Louis Marshall,8/11/2016,Xerox 194,8,16.32,130.56
Diane Gonzalez,Oregon,West,Brian Roberts,8/12/2016,Acme Tagit Stainless Steel Antibacterial Scissors,2,53.35,106.7
Sara Snyder,New York,East,Joseph Boyd,8/12/2016,Xerox 206,5,12.42,62.1
Patrick Graham,Washington,West,Cheryl Morris,8/12/2016,Staples,2,16.32,32.64
Patrick Graham,Washington,West,Sharon Montgomery,8/12/2016,Holmes Odor Grabber,4,12.42,49.68
Patrick Graham,Oregon,West,Lois Fernandez,8/12/2016,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",5,53.35,266.75
Randy Watson,Massachusetts,East,Albert Cook,8/12/2016,Sauder Barrister Bookcases,9,16.32,146.88
Sara Snyder,New York,East,Ronald Kim,8/12/2016,Avery Non-Stick Binders,5,53.35,266.75
Randy Watson,Massachusetts,East,Cheryl Williamson,8/12/2016,"Bush Westfield Collection Bookcases, Fully Assembled",10,16.32,163.2
Diane Gonzalez,California,West,Helen Diaz,8/12/2016,Premier Electric Letter Opener,8,12.42,99.36
Patrick Graham,Oregon,West,Rose Matthews,8/12/2016,"Bush Cubix Collection Bookcases, Fully Assembled",9,17.83,160.47
Frances Warren,New York,East,Kenneth Lane,8/12/2016,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",3,16.32,48.96
Patrick Graham,Oregon,West,Teresa Fisher,8/12/2016,Xerox 1980,6,12.42,74.52
Sara Snyder,New York,East,Joan Harvey,8/13/2016,Avery 493,2,12.42,24.84
Patrick Graham,Washington,West,Christine Wallace,8/13/2016,"Fellowes Mobile File Cart, Black",8,12.42,99.36
Patrick Graham,Oregon,West,Janet Stewart,8/13/2016,Strathmore Photo Frame Cards,10,16.32,163.2
Patrick Graham,California,West,Nicholas Schmidt,8/13/2016,"Carina 42""Hx23 3/4""W Media Storage Unit",8,16.32,130.56
Patrick Graham,Oregon,West,Jeremy Diaz,8/13/2016,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",6,53.35,320.1
Patrick Graham,Washington,West,Phillip Mills,8/13/2016,Xerox 1993,4,12.42,49.68
Frances Warren,Massachusetts,East,Michael Foster,8/13/2016,Tennsco 6- and 18-Compartment Lockers,2,12.42,24.84
Frances Warren,New York,East,Marilyn Martin,8/13/2016,Okidata C331dn Printer,5,53.35,266.75
Diane Gonzalez,Washington,West,Joseph Dixon,8/13/2016,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",2,16.32,32.64
Diane Gonzalez,Nevada,West,Peter Bishop,8/13/2016,Xerox 1978,3,12.42,37.26
Frances Warren,New Jersey,East,Ruby Evans,8/13/2016,Office Star Flex Back Scooter Chair with White Frame,10,17.83,178.3
Sara Snyder,New York,East,Anthony Berry,8/13/2016,"Acco Six-Outlet Power Strip, 4' Cord Length",2,16.32,32.64
Randy Watson,Massachusetts,East,Wanda Cole,8/13/2016,Acme Rosewood Handle Letter Opener,1,17.83,17.83
Sara Snyder,New Jersey,East,Peter Brown,8/13/2016,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,6,17.83,106.98
Patrick Graham,Oregon,West,Alice Taylor,8/13/2016,Cisco SPA301,6,12.42,74.52
Randy Watson,Massachusetts,East,Carl Ford,8/13/2016,"Seth Thomas 8 1/2"" Cubicle Clock",9,16.32,146.88
Diane Gonzalez,Washington,West,Daniel Perez,8/13/2016,"Hunt PowerHouse Electric Pencil Sharpener, Blue",2,17.83,35.66
Diane Gonzalez,Oregon,West,Craig Brooks,8/13/2016,Ibico Laser Imprintable Binding System Covers,7,12.42,86.94
Sara Snyder,Connecticut,East,Clarence Mason,8/13/2016,GBC Standard Plastic Binding Systems' Combs,1,12.42,12.42
Patrick Graham,California,West,Martha Bell,8/13/2016,Tennsco 16-Compartment Lockers with Coat Rack,4,16.32,65.28
Sara Snyder,Connecticut,East,Albert Bradley,8/14/2016,Fellowes High-Stak Drawer Files,4,12.42,49.68
Sara Snyder,New York,East,Willie Hamilton,8/14/2016,Aastra 6757i CT Wireless VoIP phone,4,12.42,49.68
Sara Snyder,Massachusetts,East,Andrea King,8/14/2016,Xerox 1907,10,12.42,124.2
Randy Watson,Massachusetts,East,Raymond Young,8/14/2016,"Executive Impressions 14"" Contract Wall Clock",5,53.35,266.75
Diane Gonzalez,Oregon,West,Jeremy Diaz,8/14/2016,DMI Arturo Collection Mission-style Design Wood Chair,5,17.83,89.15
Patrick Graham,Washington,West,Craig Hicks,8/14/2016,First Data FD10 PIN Pad,1,12.42,12.42
Sara Snyder,New Jersey,East,Anthony Ruiz,8/14/2016,GE 30524EE4,10,12.42,124.2
Randy Watson,New York,East,Sharon Rose,8/14/2016,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,5,12.42,62.1
Sara Snyder,New York,East,Ruby Matthews,8/14/2016,"Wilson Jones 1"" Hanging DublLock Ring Binders",6,17.83,106.98
Frances Warren,New Jersey,East,Kathy Rice,8/14/2016,Surelock Post Binders,3,12.42,37.26
Diane Gonzalez,California,West,Robin Murphy,8/14/2016,Fellowes Neat Ideas Storage Cubes,9,53.35,480.15
Sara Snyder,Massachusetts,East,Teresa Walker,8/14/2016,Panasonic KX TS3282W Corded phone,6,16.32,97.92
Diane Gonzalez,Oregon,West,Martha Harper,8/14/2016,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",3,17.83,53.49
Diane Gonzalez,Washington,West,Gloria Morris,8/15/2016,Maxell LTO Ultrium - 800 GB,6,17.83,106.98
Patrick Graham,Oregon,West,Terry Pierce,8/15/2016,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",6,16.32,97.92
Diane Gonzalez,Oregon,West,Sharon Wagner,8/15/2016,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",7,12.42,86.94
Sara Snyder,New York,East,Jerry Pierce,8/15/2016,GBC DocuBind 300 Electric Binding Machine,9,16.32,146.88
Frances Warren,Connecticut,East,Brandon Morales,8/15/2016,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,9,12.42,111.78
Randy Watson,New York,East,Katherine Mcdonald,8/15/2016,Newell 311,3,12.42,37.26
Diane Gonzalez,Oregon,West,Joyce Myers,8/15/2016,"Situations Contoured Folding Chairs, 4/Set",1,53.35,53.35
Patrick Graham,Washington,West,Harry Hanson,8/15/2016,"Global Leather and Oak Executive Chair, Black",5,16.32,81.6
Patrick Graham,California,West,Sandra Bowman,8/15/2016,"Logitech B530 USB Headset - headset - Full size, Binaural",2,12.42,24.84
Sara Snyder,Massachusetts,East,Sandra Weaver,8/15/2016,"BIC Brite Liner Highlighters, Chisel Tip",10,12.42,124.2
Sara Snyder,New York,East,Ashley Spencer,8/15/2016,Xerox 226,1,16.32,16.32
Sara Snyder,New York,East,Virginia Alvarez,8/15/2016,Avery 489,1,17.83,17.83
Sara Snyder,Massachusetts,East,Kevin Torres,8/16/2016,Plantronics Savi W720 Multi-Device Wireless Headset System,6,12.42,74.52
Diane Gonzalez,California,West,Andrea Washington,8/16/2016,Cubify CubeX 3D Printer Double Head Print,2,17.83,35.66
